Peak Numbers based on the given limits	2604
Time_Botoom	Bottom	Time_Peak	Peak	Time_HLLS	HLLS	L_s	Time_HLTB	HLTB	L_f
157.418	1.51328	157.658	1.82452	157.518	1.69369	1.1304	157.338	1.71904	0.5652
157.858	1.38553	158.378	1.82736	158.098	1.70624	2.4492	157.738	1.63815	0.942
158.538	1.45319	159.098	2.09735	158.798	1.70163	2.6376	158.438	1.73386	0.7536
159.378	1.45773	159.658	1.81116	159.498	1.67126	1.3188	159.218	1.83176	1.3188
159.858	1.34137	160.778	2.23785	160.298	1.81603	4.3332	159.738	1.64736	0.942
161.538	1.68344	161.578	1.83057	161.538	1.68344	0.1884	161.138	1.81493	3.5796
161.698	1.41934	162.618	2.28757	162.138	1.81684	4.3332	161.618	1.63501	0.5652
163.098	1.69247	163.738	1.83682	163.398	1.83875	3.0144	162.838	1.65628	2.2608
164.338	1.59741	165.018	2.11017	164.658	1.94773	3.2028	164.018	1.58553	2.826
165.178	1.5621	165.458	1.9079	165.298	1.7121	1.3188	165.078	1.95708	0.7536
165.578	1.4844	165.938	1.93448	165.738	1.73549	1.6956	165.498	1.69853	0.5652
166.098	1.36139	167.618	2.19522	166.838	1.90417	7.1592	165.998	1.66502	0.7536
167.778	1.51187	168.298	2.01251	168.018	1.79324	2.4492	167.678	1.86132	0.7536
168.578	1.39215	169.458	1.99503	168.998	1.774	4.1448	168.418	1.7433	1.3188
169.778	1.32483	170.498	1.8013	170.118	1.6644	3.3912	169.598	1.69392	1.5072
170.618	1.42676	171.018	1.85556	170.798	1.67876	1.884	170.538	1.63371	0.5652
171.578	1.65478	171.658	1.83813	171.598	1.71137	0.3768	171.278	1.62983	2.6376
172.058	1.37561	172.418	1.84775	172.218	1.6655	1.6956	171.838	1.64216	1.884
172.658	1.30328	174.298	2.1936	173.458	1.86211	7.7244	172.518	1.53795	1.1304
174.778	1.42032	175.498	2.01694	175.118	1.7811	3.3912	174.518	1.63771	2.2608
175.978	1.58771	176.298	1.90842	176.118	1.76298	1.5072	175.718	1.67711	2.2608
176.418	1.3277	177.178	1.85052	176.778	1.69767	3.5796	176.338	1.66985	0.5652
177.458	1.51388	178.298	2.16989	177.858	1.86607	3.9564	177.298	1.5469	1.3188
